"","surveyor_id","general_detail.genral_detail0.district","general_detail.genral_detail0.vdc","general_detail.genral_detail0.ward","general_detail.genral_detail0.location","general_detail.school.school_name","general_detail.school.image_school_name","general_detail.emis.school_code","general_detail.emis.school_emis","general_detail.verification.save_name","general_detail.verification.verified.yes","general_detail.school_type","general_detail.school_level.kindergarten","general_detail.school_level.primary","general_detail.school_level.lower_secondary","general_detail.school_level.secondary","general_detail.school_level.higher_secondary","general_detail.school_level.higher_education","general_detail.school_level.other","general_detail.school_level_other","general_detail.general_detail_1.number_pupils_staff","general_detail.general_detail_1.number_pupils_staff_estimate","general_detail.surveyed_date","general_detail.senior_surveyor","general_detail.surveyor","general_detail.gps_coordinates","general_detail._gps_coordinates_latitude","general_detail._gps_coordinates_longitude","general_detail._gps_coordinates_altitude","general_detail._gps_coordinates_precision","general_detail.weather_condition","general_detail.weather_condition_other","general_detail.school_contacts","general_detail.contacts_count","general_detail.contacts.1..contact_phone","general_detail.contacts.1..contact_photo","general_detail.contacts.1..contact_name","general_detail.contacts.1..years","general_detail.contacts.1..contact_position","general_detail.contacts.2..contact_phone","general_detail.contacts.2..contact_position","general_detail.contacts.2..contact_email","general_detail.contacts.2..contact_name","general_detail.contacts.2..years","general_detail.contacts.2..contact_photo","general_detail.contacts.1..contact_email","general_detail.contacts.2..contact_position_other","general_detail.contacts.1..contact_position_other","general_detail.contacts.3..contact_phone","general_detail.contacts.3..contact_photo","general_detail.contacts.3..contact_name","general_detail.contacts.3..years","general_detail.contacts.3..contact_position","general_detail.contacts.3..contact_email","general_detail.contacts.3..contact_position_other","exposure.exposure_1.travel_time_to_building_material.on_foot_building_material","exposure.exposure_1.travel_time_to_building_material.motorbike_building_material","exposure.exposure_1.travel_time_to_building_material.car_building_material","exposure.exposure_1.travel_time_to_building_material.truck_building_material","exposure.exposure_1.travel_time_to_building_material.other_1","exposure.exposure_1.travel_time_to_building_material.other_building_material","exposure.exposure_1.travel_time_to_building_material.comment_travel_time_to_major_town","exposure.exposure_2.travel_time_to_major_town.on_foot_travel_time_to_major_town","exposure.exposure_2.travel_time_to_major_town.motorbike_travel_time_to_major_town","exposure.exposure_2.travel_time_to_major_town.car_travel_time_to_major_town","exposure.exposure_2.travel_time_to_major_town.truck_travel_time_to_major_town","exposure.exposure_2.travel_time_to_major_town.other_2","exposure.exposure_2.travel_time_to_major_town.other_travel_time_to_major_tim","exposure.exposure_2.travel_time_to_major_town.comment_travel_time_to_major_town","exposure.exposure_3.distance_river","exposure.exposure_3.comment_distance_river","flooding.exposure_4.risk_of_flooding","flooding.exposure_4.comment_risk_of_flooding","flooding.exposure_4.image_risk_of_flooding","flooding.flooding_risk.last_flood_event","flooding.flooding_risk.exposure_5.flood_height","flooding.flooding_risk.exposure_5.comment_flood_height","flooding.flooding_risk.exposure_5.image_flood_height","flooding.flooding_risk.exposure_6.flood_mitigation_measures.flood_barriers","flooding.flooding_risk.exposure_6.flood_mitigation_measures.water_exclusion","flooding.flooding_risk.exposure_6.flood_mitigation_measures.flood_storage","flooding.flooding_risk.exposure_6.flood_mitigation_measures.flood_control_structure","flooding.flooding_risk.exposure_6.flood_mitigation_measures.water_diversion","flooding.flooding_risk.exposure_6.flood_mitigation_measures.none","flooding.flooding_risk.exposure_6.comment_flood_mitigation_measures","flooding.flooding_risk.exposure_6.image_flood_mitigation_measures","flooding.exposure_7.man_made_drainage","flooding.exposure_7.comment_man_made_drainage","flooding.exposure_7.image_man_made_drainage","flooding.exposure_8.drainage_system_culverts_overflowed","flooding.exposure_8.comment_drainage_system_culverts_overflowed","flooding.exposure_8.image_drainage_system_culverts_overflowed","landslide.exposure_9.landslide_risk.slope_stabilisation","landslide.exposure_9.landslide_risk.retention_wall","landslide.exposure_9.landslide_risk.rock_fall","landslide.exposure_9.landslide_risk.avalanche","landslide.exposure_9.landslide_risk.heavy_erosion","landslide.exposure_9.landslide_risk.none","landslide.exposure_9.image_landslide_risk","landslide.exposure_10.landslide_history","landslide.exposure_10.comment_landslide_history","topography.general_terrain","topography.general_terrain_other","topography.exposure_11.general_topography.flat","topography.exposure_11.general_topography.terraced","topography.exposure_11.general_topography.sloping_site","topography.exposure_11.general_topography.school_near_base_of_slope","topography.exposure_11.general_topography.top_of_hill","topography.exposure_11.comment_general_topography","topography.exposure_11.image_general_topography","surroundings.approx_distance_to_road","surroundings.exposure_12.road_condition","surroundings.exposure_12.comment_road_condition","surroundings.exposure_12.image_road_condition","surroundings.exposure_13.linear_feature","surroundings.exposure_13.image_linear_feature","physical_planning.number_of_buildings","physical_planning.physical_planning_1.number_of_tlc","physical_planning.physical_planning_1.image_number_of_tlc","physical_planning.physical_planning_2.funded.unicef","physical_planning.physical_planning_2.funded.ingo","physical_planning.physical_planning_2.funded.ngo","physical_planning.physical_planning_2.funded.community","physical_planning.physical_planning_2.funded.int_donor","physical_planning.physical_planning_2.funded.local_donor","physical_planning.physical_planning_2.funded.dk","physical_planning.physical_planning_2.funded_1.ingo","physical_planning.physical_planning_2.funded_1.ngo","physical_planning.physical_planning_2.funded_1.int_donor","physical_planning.physical_planning_2.funded_1.local_donor","physical_planning.owns_land","physical_planning.owns_land_other","physical_planning.physical_planning_3.safe_location","physical_planning.physical_planning_3.comment_safe_location","physical_planning.physical_planning_3.image_safe_location","physical_planning.physical_planning_4.location_for_tlc","physical_planning.physical_planning_4.comment_safe_location","physical_planning.physical_planning_4.image_safe_location","physical_planning.physical_planning_5.toilet_functioning","physical_planning.physical_planning_5.comment_toilet_functioning","physical_planning.physical_planning_5.image_toilet_functioning","physical_planning.toilet_damaged","physical_planning.physical_planning_6.wash_facilities","physical_planning.physical_planning_6.comment_wash_facilities","physical_planning.physical_planning_6.image_wash_facilities","physical_planning.water_tanks","physical_planning.physical_planning_7.electricity_supply","physical_planning.physical_planning_7.comment_electricity_supply","physical_planning.physical_planning_7.image_electricity_supply","physical_planning.physical_planning_8.backup_generator.generator","physical_planning.physical_planning_8.backup_generator.solar","physical_planning.physical_planning_8.backup_generator.none","physical_planning.physical_planning_8.comment_backup_generator","physical_planning.physical_planning_8.image_backup_generator","physical_planning.physical_planning_9.exit_point","physical_planning.physical_planning_9.comment_exit_point","physical_planning.physical_planning_9.image_exit_point","physical_planning.site_plan","physical_planning.physical_planning_10.proximity_to_unsafe.perimeter_walls","physical_planning.physical_planning_10.proximity_to_unsafe.water_towers","physical_planning.physical_planning_10.proximity_to_unsafe.large_tree","physical_planning.physical_planning_10.proximity_to_unsafe.utility_plant","physical_planning.physical_planning_10.proximity_to_unsafe.chemical_factories","physical_planning.physical_planning_10.proximity_to_unsafe.vulnerable_buildings","physical_planning.physical_planning_10.proximity_to_unsafe.forest","physical_planning.physical_planning_10.proximity_to_unsafe.none","physical_planning.physical_planning_10.proximity_to_unsafe.other","physical_planning.physical_planning_10.proximity_to_unsafe_other","physical_planning.physical_planning_10.comment_proximity_to_unsafe","physical_planning.physical_planning_10.image_proximity_to_unsafe","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","X_version","X_duration","X_submitted_by"
"811","Dk12",21,21054,1,"Tapke","Saraswati Pra v",NA,"0004","EMIS210540004","SCHOOL EMIS210540004","True","public","True","True","False","False","False","False","False",NA,80,"betn_50_99","2015-11-05","Raj Kumar ghimire","Bipin jha","27.41324943 86.10612641 966.5 10.0",27.41324943,86.10612641,966.5,10,"sunny_fair",NA,2,2,"9844257561","1446692759013.jpg","Dol bahadur thapa",NA,"other","9844388251","other",NA,"Hasta bahadur thapa",NA,"1446692786697.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1500,"Earthquake can damage the present structure.wind also a problem.","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"False","False","False","False","False","True",NA,NA,NA,"foothills",NA,"False","False","True","False","False",NA,"1446692963281.jpg","bet_100_1000m","unsurfaced_road_poor",NA,"1446693002695.jpg","yes",NA,3,0,"1446693062500.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"community",NA,"yes",NA,"1446693081431.jpg","no",NA,NA,2,NA,"1446693119810.jpg",0,"none","It at lower side of school so need to carry water in to school.need to construct wash facilities","1446693194026.jpg","yes","no",NA,NA,"False","False","True",NA,NA,"_2",NA,"1446693278096.jpg","1446693354428.jpg","False","False","True","False","False","False","False","False","False",NA,NA,"1446693322402.jpg","uuid:d4d5334a-c2f3-4be0-bf2e-0d8ef78d0676","d4d5334a-c2f3-4be0-bf2e-0d8ef78d0676","2015-11-08T02:49:46",NA,NA,"2015-10-06T10:15:13+05:45",NA,"None"
"845","Dk12",21,21029,7,"Deurali dada","Deurali Dada Ni Ma v","1446176199097.jpg","0003","EMIS210290003","SCHOOL EMIS210290003","True","public","True","True","True","False","False","False","False",NA,130,NA,"2015-10-30","Raj Kumar ghimire","Bipin jha","27.45211789 86.12216914 1050.800048828125 13.0",27.45211789,86.12216914,1050.80004882812,13,"overcast",NA,1,1,"9741157740","1446176918514.jpg","Ram bahadur baruwal",29,"school_management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,300,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"False","True","False","False","False","False","1446177096325.jpg",2039,NA,"mountainous",NA,"False","True","True","False","False",NA,"1446177201107.jpg","betn_10_100m","surfaced_road_poor",NA,"1446177216930.jpg","no",NA,3,4,"1446177250342.jpg","True","False","True","False","False","False","False",NA,"Sebic Nepal and chesa pani yuva club",NA,NA,"government",NA,"no",NA,NA,"yes",NA,"1446177463343.jpg",3,NA,"1446177505013.jpg",0,"running_water","There is water source 100 m away from school","1446177595506.jpg","yes","no",NA,NA,"False","False","True",NA,NA,"_2",NA,"1446177651530.jpg","1446179426890.jpg","False","False","True","False","False","False","False","False","False",NA,NA,"1446178075819.jpg","uuid:b5ca5b80-e676-42f7-bcd3-f550004b752f","b5ca5b80-e676-42f7-bcd3-f550004b752f","2015-11-09T14:25:44",NA,NA,"2015-10-06T10:15:13+05:45",NA,"None"
"861","Dk12",21,21054,1,"Tapke","Saraswati Pra v",NA,"0004","EMIS210540004","SCHOOL EMIS210540004","True","public","True","True","False","False","False","False","False",NA,80,"betn_50_99","2015-11-05","Raj Kumar ghimire","Bipin jha","27.41324943 86.10612641 966.5 10.0",27.41324943,86.10612641,966.5,10,"sunny_fair",NA,2,2,"9844257561","1446692759013.jpg","Dol bahadur thapa",NA,"other","9844388251","other",NA,"Hasta bahadur thapa",NA,"1446692786697.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1500,"Earthquake can damage the present structure.wind also a problem.","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"False","False","False","False","False","True",NA,NA,NA,"foothills",NA,"False","False","True","False","False",NA,"1446692963281.jpg","bet_100_1000m","unsurfaced_road_poor",NA,"1446693002695.jpg","yes",NA,3,0,"1446693062500.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"community",NA,"yes",NA,"1446693081431.jpg","no",NA,NA,2,NA,"1446693119810.jpg",0,"none","It at lower side of school so need to carry water in to school.need to construct wash facilities","1446693194026.jpg","yes","no",NA,NA,"False","False","True",NA,NA,"_2",NA,"1446693278096.jpg","1446693354428.jpg","False","False","True","False","False","False","False","False","False",NA,NA,"1446693322402.jpg","uuid:3af767f8-cef2-42a5-a345-abd6b1c9e9de","3af767f8-cef2-42a5-a345-abd6b1c9e9de","2015-11-09T15:56:13",NA,NA,"2015-10-06T10:15:13+05:45",NA,"None"
"868","Dk12",21,21029,7,"Deurali dada","Deurali Dada Ni Ma v","1446176199097.jpg","0003","EMIS210290003","SCHOOL EMIS210290003","True","public","True","True","True","False","False","False","False",NA,130,NA,"2015-10-30","Raj Kumar ghimire","Bipin jha","27.45211789 86.12216914 1050.800048828125 13.0",27.45211789,86.12216914,1050.80004882812,13,"overcast",NA,1,1,"9741157740","1446176918514.jpg","Ram bahadur baruwal",29,"school_management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,300,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"False","True","False","False","False","False","1446177096325.jpg",2039,NA,"mountainous",NA,"False","True","True","False","False",NA,"1446177201107.jpg","betn_10_100m","surfaced_road_poor",NA,"1446177216930.jpg","no",NA,3,4,"1446177250342.jpg","True","False","True","False","False","False","False",NA,"Sebic Nepal and chesa pani yuva club",NA,NA,"government",NA,"no",NA,NA,"yes",NA,"1446177463343.jpg",3,NA,"1446177505013.jpg",0,"running_water","There is water source 100 m away from school","1446177595506.jpg","yes","no",NA,NA,"False","False","True",NA,NA,"_2",NA,"1446177651530.jpg","1446179426890.jpg","False","False","True","False","False","False","False","False","False",NA,NA,"1446178075819.jpg","uuid:72b9b58d-ec69-43c2-8457-0b8f6c6fcd18","72b9b58d-ec69-43c2-8457-0b8f6c6fcd18","2015-11-09T20:30:18",NA,NA,"2015-10-06T10:15:13+05:45",NA,"None"
